Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza total X,fuerza total Y,fuerza neta total
9.0,9.0,40.821,11.663,42.454,-198.858,-198.858,-281.236,-158.037,-187.195,244.985
9.0,11.5,34.265,15.909,37.777,-80.982,-131.595,-154.513,-46.717,-115.68599999999999,124.763
9.0,14.0,27.332,17.571,32.492,-37.681,-84.783,-92.781,-10.348999999999997,-67.212,68.004
9.0,16.5,21.186,17.402,27.417,-19.943,-57.336,-60.706,1.2429999999999986,-39.934,39.953
9.0,19.0,16.235,16.235,22.959,-11.663,-40.821,-42.454,4.571999999999999,-24.586,25.007
11.5,-11.0,12.231,-11.86,17.037,-11.357,27.957,-30.176,0.8740000000000006,16.097,16.121
11.5,-8.5,15.326,-12.539,19.802,-17.392,36.123,-40.091,-2.065999999999999,23.583999999999996,23.674
11.5,-6.0,19.041,-12.694,22.885,-28.046,47.462,-55.13,-9.004999999999999,34.768,35.915
11.5,-3.5,23.223,-11.963,26.124,-47.753,62.447,-78.609,-24.53,50.484,56.128
11.5,-1.0,27.439,-9.978,29.197,-84.511,78.01,-115.013,-57.071999999999996,68.03200000000001,88.801
11.5,1.5,30.947,-6.564,31.635,-145.423,78.305,-165.156,-114.476,71.74100000000001,135.098
11.5,4.0,32.878,-1.993,32.938,-205.717,31.649,-208.122,-172.839,29.656000000000002,175.365
11.5,6.5,32.652,2.968,32.787,-197.053,-45.474,-202.237,-164.401,-42.506,169.807
11.5,9.0,30.344,7.356,31.223,-131.595,-80.982,-154.513,-101.251,-73.626,125.19
11.5,11.5,26.626,10.489,28.617,-75.323,-75.323,-106.518,-48.69699999999999,-64.83399999999999,81.085
11.5,14.0,22.367,12.2,25.478,-42.752,-59.194,-73.02,-20.385,-46.994,51.225
11.5,16.5,18.254,12.723,22.25,-25.377,-44.899,-51.575,-7.1229999999999976,-32.176,32.955
11.5,19.0,14.656,12.435,19.221,-15.909,-34.265,-37.777,-1.2530000000000001,-21.83,21.866
14.0,-11.0,11.158,-9.396,14.587,-13.092,23.275,-26.705,-1.934000000000001,13.878999999999998,14.013
14.0,-8.5,13.505,-9.595,16.567,-18.964,28.446,-34.188,-5.458999999999998,18.851,19.626
14.0,-6.0,16.161,-9.356,18.673,-28.212,34.481,-44.552,-12.050999999999998,25.125,27.866
14.0,-3.5,18.961,-8.483,20.773,-42.7,40.328,-58.732,-23.739000000000004,31.845000000000002,39.72
14.0,-1.0,21.617,-6.827,22.67,-63.998,42.665,-76.918,-42.381,35.838,55.502
14.0,1.5,23.712,-4.368,24.112,-89.941,34.977,-96.507,-66.229,30.608999999999995,72.96
14.0,4.0,24.829,-1.307,24.863,-109.099,12.122,-109.765,-84.27000000000001,10.815,84.961
14.0,6.5,24.7,1.95,24.777,-106.642,-17.774,-108.112,-81.942,-15.824000000000002,83.456
14.0,9.0,23.362,4.918,23.874,-84.783,-37.681,-92.781,-61.42100000000001,-32.763,69.613
