Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-1.0,11.5,80.982,131.595,154.513,-78.01,84.511,115.013,7.356,30.344,31.223,10.327999999999994,246.45,246.666
-1.0,14.0,37.681,84.783,92.781,-42.665,63.998,76.918,4.918,23.362,23.874,-0.06600000000000161,172.143,172.143
-1.0,16.5,19.943,57.336,60.706,-24.744,47.426,53.493,3.442,18.501,18.818,-1.3589999999999982,123.263,123.27
-1.0,19.0,11.663,40.821,42.454,-15.28,35.653,38.791,2.499,14.996,15.203,-1.117999999999999,91.46999999999998,91.477
1.5,-21.0,3.039,-12.157,12.531,-1.744,-12.959,13.076,11.357,-27.957,30.176,12.652,-53.073,54.56
1.5,-18.5,4.036,-14.592,15.139,-2.349,-15.77,15.944,17.392,-36.123,40.091,19.079,-66.485,69.168
1.5,-16.0,5.507,-17.791,18.624,-3.264,-19.586,19.856,28.046,-47.462,55.13,30.288999999999998,-84.839,90.084
1.5,-13.5,7.759,-22.082,23.406,-4.72,-24.946,25.388,47.753,-62.447,78.609,50.792,-109.47500000000001,120.684
1.5,-11.0,11.357,-27.957,30.176,-7.17,-32.778,33.552,84.511,-78.01,115.013,88.698,-138.745,164.674
1.5,-8.5,17.392,-36.123,40.091,-11.613,-44.795,46.275,145.423,-78.305,165.156,151.202,-159.223,219.577
1.5,-6.0,28.046,-47.462,55.13,-20.481,-64.369,67.547,205.717,-31.649,208.122,213.282,-143.48000000000002,257.052
1.5,-3.5,47.753,-62.447,78.609,-40.558,-98.499,106.518,197.053,45.474,202.237,204.248,-115.47200000000001,234.63
1.5,-1.0,84.511,-78.01,115.013,-93.995,-161.135,186.54,131.595,80.982,154.513,122.11099999999999,-158.16299999999998,199.816
1.5,1.5,145.423,-78.305,165.156,-259.714,-259.714,367.309,75.323,75.323,106.518,-38.968,-262.696,265.571
1.5,4.0,205.717,-31.649,208.122,-653.14,-186.611,679.266,42.752,59.194,73.02,-404.671,-159.06599999999997,434.811
1.5,6.5,197.053,45.474,202.237,-570.453,244.48,620.653,25.377,44.899,51.575,-348.02299999999997,334.853,482.956
1.5,9.0,131.595,80.982,154.513,-209.798,239.769,318.593,15.909,34.265,37.777,-62.294000000000004,355.01599999999996,360.44
1.5,11.5,75.323,75.323,106.518,-78.305,145.423,165.156,10.489,26.626,28.617,7.506999999999987,247.37199999999999,247.486
1.5,14.0,42.752,59.194,73.02,-34.977,89.941,96.507,7.224,21.117,22.319,14.999000000000006,170.25199999999998,170.911
1.5,16.5,25.377,44.899,51.575,-18.134,59.582,62.282,5.163,17.076,17.84,12.405999999999999,121.55699999999999,122.188
1.5,19.0,15.909,34.265,37.777,-10.481,41.926,43.217,3.805,14.05,14.557,9.233,90.241,90.712
4.0,-21.0,3.889,-11.235,11.889,-0.511,-13.284,13.294,13.092,-23.275,26.705,16.47,-47.794,50.552
4.0,-18.5,5.083,-13.273,14.213,-0.692,-16.253,16.268,18.964,-28.446,34.188,23.354999999999997,-57.972,62.5
4.0,-16.0,6.792,-15.848,17.242,-0.968,-20.338,20.362,28.212,-34.481,44.552,34.036,-70.667,78.436
4.0,-13.5,9.302,-19.121,21.264,-1.415,-26.182,26.22,42.7,-40.328,58.732,50.587,-85.631,99.457
4.0,-11.0,13.092,-23.275,26.705,-2.185,-34.953,35.02,63.998,-42.665,76.918,74.905,-100.893,125.659
4.0,-8.5,18.964,-28.446,34.188,-3.628,-48.979,49.113,89.941,-34.977,96.507,105.277,-112.40199999999999,154.005
4.0,-6.0,28.212,-34.481,44.552,-6.68,-73.475,73.775,109.099,-12.122,109.765,130.631,-120.07799999999999,177.435
