Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
2.5,-2.0,-107.341,214.682,-240.015,32.152,-27.559,42.349,460.656,-307.104,553.708,385.467,-119.981,403.708
2.5,-1.5,-163.508,272.514,-317.751,39.592,-28.28,48.652,683.232,-227.744,720.126,559.3159999999999,16.49000000000001,559.559
2.5,-1.0,-259.2,345.6,-432.0,48.092,-27.481,55.388,800.0,0.0,800.0,588.892,318.119,669.323
2.5,-0.5,-424.456,424.456,-600.181,57.045,-24.448,62.065,683.232,227.744,720.126,315.82099999999997,627.7520000000001,702.72
2.5,0.0,-690.984,460.656,-830.562,65.314,-18.661,67.927,460.656,307.104,553.708,-165.01400000000007,749.0989999999999,767.059
2.5,0.5,-1024.848,341.616,-1080.19,71.248,-10.178,71.981,282.971,282.971,400.121,-670.6289999999999,614.409,909.528
2.5,1.0,-1200.0,-0.0,-1200.0,73.469,0.0,73.469,172.8,230.4,288.0,-953.731,230.4,981.166
2.5,1.5,-1024.848,-341.616,-1080.19,71.248,10.178,71.981,109.005,181.676,211.834,-844.5949999999999,-149.762,857.77
2.5,2.0,-690.984,-460.656,-830.562,65.314,18.661,67.927,71.561,143.121,160.01,-554.109,-298.874,629.573
2.5,2.5,-424.456,-424.456,-600.181,57.045,24.448,62.065,48.896,114.091,124.131,-318.515,-285.91700000000003,428.019
2.5,3.0,-259.2,-345.6,-432.0,48.092,27.481,55.388,34.631,92.35,98.63,-176.477,-225.76900000000003,286.558
3.0,-3.5,-45.231,101.771,-111.36,16.493,-18.554,24.826,109.658,-137.072,175.562,80.92,-53.855000000000004,97.203
3.0,-3.0,-60.379,120.759,-135.008,19.886,-19.886,28.124,159.171,-159.171,225.068,118.678,-58.29799999999999,132.224
3.0,-2.5,-82.443,144.276,-166.164,23.977,-20.98,31.859,230.4,-172.8,288.0,171.93400000000003,-49.504000000000005,178.919
3.0,-2.0,-115.164,172.746,-207.641,28.8,-21.6,36.0,322.023,-161.012,360.022,235.65900000000002,-9.865999999999985,235.865
3.0,-1.5,-164.486,205.608,-263.343,34.301,-21.438,40.449,410.617,-102.654,423.346,280.432,81.51600000000002,292.039
3.0,-1.0,-238.757,238.757,-337.602,40.253,-20.126,45.003,450.0,0.0,450.0,251.49599999999998,218.631,333.241
3.0,-0.5,-345.6,259.2,-432.0,46.175,-17.316,49.315,410.617,102.654,423.346,111.19200000000001,344.538,362.036
3.0,0.0,-483.035,241.517,-540.033,51.364,-12.841,52.944,322.023,161.012,360.022,-109.64800000000002,389.688,404.82
3.0,0.5,-615.925,153.981,-635.019,54.962,-6.87,55.388,230.4,172.8,288.0,-330.563,319.911,460.016
3.0,1.0,-675.0,-0.0,-675.0,56.25,0.0,56.25,159.171,159.171,225.068,-459.579,159.171,486.362
3.0,1.5,-615.925,-153.981,-635.019,54.962,6.87,55.388,109.658,137.072,175.562,-451.30499999999995,-10.038999999999987,451.417
3.0,2.0,-483.035,-241.517,-540.033,51.364,12.841,52.944,76.776,115.164,138.427,-354.89500000000004,-113.51199999999999,372.606
3.0,2.5,-345.6,-259.2,-432.0,46.175,17.316,49.315,54.962,96.184,110.776,-244.46300000000002,-145.7,284.589
3.0,3.0,-238.757,-238.757,-337.602,40.253,20.126,45.003,40.253,80.506,90.005,-158.25100000000003,-138.125,210.052
